名称,品类,楼层,评分,人均(¥),标签,简介,月均客流,热度
老吉堂,精致餐饮,S-L4,4.5,500,本帮菜、老字号,本帮菜传承名店,320,0.6
满愿家,精致餐饮,S-L4,4.6,680,私宴、中式,高端中式私宴,260,0.55
青鹤荟,精致餐饮,S-L4,4.4,550,新派、东方,新派东方料理,240,0.52
泰珍荟,精致餐饮,S-L4,4.5,480,泰餐、精致,泰式精致料理,300,0.58
高桌,精致餐饮,S-L4,4.6,880,牛排、西餐,高端西餐牛排馆,200,0.48
晴空,精致餐饮,S-L4,4.6,700,日料、精致,日式料理名店,220,0.5
Moon N Back,精致餐饮,S-L4,4.4,450,创意、酒吧,融合创意料理酒吧,350,0.55
DIM SUM MARVEL,品质中餐,S-L3,4.3,120,点心、新派,新派点心专门店,800,0.72
MEET THE BUND,品质中餐,S-L3,4.4,350,江景、中餐,外滩江景中餐,550,0.65
炙焰炉子炉馆,品质中餐,S-L3,4.3,200,烤炉、创意,明火烤炉料理,600,0.62
A&M CROWNED SALON,美容美发,S-L3,4.5,500,美发、高端,高端美发沙龙,280,0.45
MOMODA,网红餐饮,S-L3,4.2,80,网红、轻食,网红创意轻食,1100,0.75
Sir Rudy's Pro Shop,运动健身,S-L2,4.4,2800,高尔夫、运动,高尔夫专业装备,150,0.35
OUTCICS,潮流品牌,S-L2,4.3,1800,小众、设计师,小众设计师集合,400,0.48
ON/OFF,潮流品牌,S-L2,4.4,2200,先锋、买手,先锋买手店,480,0.52
J.Lindeberg,运动时尚,S-L2,4.3,1500,运动、时尚,瑞典运动时尚品牌,600,0.58
PIU,潮流品牌,S-L2,4.2,800,韩系、潮流,韩系潮流集合店,750,0.65
gudgood,潮流品牌,S-L2,4.3,600,生活、买手,生活方式买手店,650,0.6
Alexander Wang,国际精品,S-L1,4.5,4500,设计师、先锋,纽约先锋潮流品牌,850,0.68
I.T,潮流品牌,S-L1,4.4,2500,潮流、集合,香港潮流集合店,1200,0.72
NEITH,潮流品牌,S-L1,4.3,1800,独立、设计师,独立潮流品牌,500,0.55
Paul Smith,国际精品,S-L1,4.5,3200,英伦、设计师,英国潮流品牌,700,0.62
华为,科技数码,S-L1,4.6,5000,科技、旗舰,华为旗舰体验店,2500,0.85
